aback,9.77E-7
abase,3.63E-8
abate,4.79E-7
abbey,7.59E-6
abbot,2.69E-6
abhor,4.37E-7
abide,3.89E-6
abled,1.95E-7
abode,1.35E-6
abort,1.86E-6
about,0.00251
above,1.58E-4
abuse,4.57E-5
abyss,2.51E-6
acorn,1.2E-6
acrid,2.34E-7
actor,4.47E-5
acute,1.0E-5
adage,8.91E-7
adapt,9.55E-6
adept,2.14E-6
admin,8.32E-6
admit,3.8E-5
adobe,3.39E-6
adopt,1.55E-5
adore,5.01E-6
adorn,1.02E-6
adult,6.31E-5
affix,4.27E-7
afire,2.88E-7
afoot,7.76E-7
afoul,4.27E-7
after,0.00129
again,5.01E-4
agape,4.47E-7
agate,6.46E-7
agent,6.46E-5
agile,2.57E-6
aging,1.1E-5
aglow,1.62E-7
agony,3.98E-6
agora,5.25E-7
agree,9.33E-5
ahead,1.02E-4
aider,8.71E-8
aisle,5.25E-6
alarm,1.91E-5
album,1.05E-4
alert,2.14E-5
algae,3.47E-6
alibi,1.26E-6
alien,1.95E-5
align,4.27E-6
alike,1.35E-5
alive,5.75E-5
allay,4.9E-7
alley,7.41E-6
allot,6.17E-7
allow,1.02E-4
alloy,4.07E-6
aloft,1.2E-6
alone,1.45E-4
along,2.4E-4
aloof,9.77E-7
aloud,3.24E-6
alpha,1.78E-5
altar,6.31E-6
alter,1.12E-5
amass,5.89E-7
amaze,1.55E-6
amber,9.33E-6
amble,2.0E-7
amend,3.55E-6
amiss,8.51E-7
amity,7.76E-7
among,2.04E-4
ample,5.13E-6
amply,4.07E-7
amuse,1.32E-6
angel,2.82E-5
anger,2.63E-5
angle,2.4E-5
angry,4.57E-5
angst,1.82E-6
anime,1.82E-5
ankle,9.33E-6
annex,3.16E-6
annoy,2.88E-6
annul,3.09E-7
anode,7.24E-7
antic,2.14E-7
anvil,1.1E-6
aorta,8.32E-7
apart,6.03E-5
aphid,2.45E-7
aping,1.23E-7
apnea,1.0E-6
apple,5.75E-5
apply,6.46E-5
apron,2.29E-6
aptly,1.32E-6
arbor,3.09E-6
ardor,2.19E-7
arena,2.14E-5
argue,2.88E-5
arise,8.51E-6
armor,9.33E-6
aroma,1.7E-6
arose,5.37E-6
array,1.26E-5
arrow,1.35E-5
arson,2.51E-6
artsy,7.76E-7
ascot,1.15E-6
ashen,3.02E-7
aside,3.89E-5
askew,5.25E-7
assay,1.91E-6
asset,1.7E-5
atoll,7.08E-7
atone,7.24E-7
attic,4.27E-6
audio,2.95E-5
audit,1.1E-5
augur,3.02E-7
aunty,1.45E-6
avail,3.89E-6
avert,1.38E-6
avian,1.38E-6
avoid,7.41E-5
await,4.27E-6
awake,1.38E-5
award,7.59E-5
aware,6.03E-5
awash,5.75E-7
awful,2.88E-5
awoke,1.41E-6
axial,1.41E-6
axiom,1.05E-6
axion,8.51E-8
azure,2.24E-6
bacon,1.41E-5
badge,1.05E-5
badly,2.75E-5
bagel,1.51E-6
baggy,1.45E-6
baker,1.7E-5
baler,1.82E-7
balmy,5.01E-7
banal,7.59E-7
banjo,1.86E-6
barge,3.16E-6
baron,7.59E-6
basal,2.51E-6
basic,7.76E-5
basil,4.47E-6
basin,1.2E-5
basis,6.46E-5
baste,2.45E-7
batch,8.13E-6
bathe,1.66E-6
baton,4.37E-6
batty,6.17E-7
bawdy,3.63E-7
bayou,1.38E-6
beach,8.32E-5
beady,3.02E-7
beard,1.17E-5
beast,1.95E-5
beech,1.86E-6
beefy,5.5E-7
befit,1.17E-7
began,1.17E-4
begat,2.57E-7
beget,2.45E-7
begin,6.92E-5
begun,2.29E-5
being,8.91E-4
belch,1.86E-7
belie,2.82E-7
belle,6.17E-6
belly,1.26E-5
below,1.12E-4
bench,2.45E-5
beret,8.32E-7
berry,9.33E-6
berth,2.75E-6
beset,1.2E-6
betel,3.39E-7
bevel,4.07E-7
bezel,6.31E-7
bible,3.47E-5
bicep,5.25E-7
biddy,2.45E-7
bigot,1.51E-6
bilge,4.68E-7
billy,2.14E-5
binge,3.98E-6
bingo,5.13E-6
biome,5.37E-7
birch,3.16E-6
birth,5.89E-5
bison,1.82E-6
bitty,6.17E-7
black,2.88E-4
blade,1.55E-5
blame,4.27E-5
bland,3.16E-6
blank,1.38E-5
blare,2.45E-7
blast,2.09E-5
blaze,4.9E-6
bleak,2.69E-6
bleat,1.32E-7
bleed,5.25E-6
bleep,1.2E-6
blend,8.91E-6
bless,1.48E-5
blimp,6.03E-7
blind,3.31E-5
blink,5.37E-6
bliss,6.03E-6
blitz,3.72E-6
bloat,3.98E-7
block,7.59E-5
bloke,3.55E-6
blond,3.55E-6
blood,1.26E-4
bloom,8.51E-6
blown,1.62E-5
bluer,1.66E-7
bluff,3.8E-6
blunt,7.94E-6
blurb,6.17E-7
blurt,3.02E-7
blush,3.63E-6
board,1.74E-4
boast,3.24E-6
bobby,1.66E-5
boney,3.16E-7
bongo,7.41E-7
bonus,2.82E-5
booby,9.55E-7
boost,2.57E-5
booth,1.26E-5
booty,3.89E-6
booze,4.47E-6
boozy,3.31E-7
borax,3.02E-7
borne,4.68E-6
bosom,1.12E-6
bossy,9.33E-7
botch,2.51E-7
bough,5.37E-7
boule,1.32E-7
bound,2.88E-5
bowel,3.55E-6
boxer,5.5E-6
brace,5.25E-6
braid,1.74E-6
brain,8.71E-5
brake,8.91E-6
brand,6.76E-5
brash,8.91E-7
brass,1.12E-5
brave,2.14E-5
bravo,5.89E-6
brawl,3.39E-6
brawn,5.75E-7
bread,3.16E-5
break,1.51E-4
breed,1.2E-5
briar,7.24E-7
bribe,3.16E-6
brick,1.78E-5
bride,1.2E-5
brief,3.31E-5
brine,1.17E-6
bring,1.86E-4
brink,3.24E-6
briny,1.58E-7
brisk,1.58E-6
broad,3.39E-5
broil,2.75E-7
broke,7.08E-5
brood,1.78E-6
brook,5.5E-6
broom,2.63E-6
broth,2.45E-6
brown,1.02E-4
brunt,1.32E-6
brush,1.7E-5
brute,2.63E-6
buddy,2.51E-5
budge,1.7E-6
buggy,2.09E-6
bugle,8.32E-7
build,1.1E-4
built,1.17E-4
bulge,1.74E-6
bulky,2.0E-6
bully,7.41E-6
bunch,3.72E-5
bunny,7.59E-6
burly,6.61E-7
burnt,1.07E-5
burst,1.41E-5
bused,1.29E-7
bushy,9.55E-7
butch,2.34E-6
butte,1.23E-6
buxom,2.4E-7
buyer,1.07E-5
bylaw,3.98E-7
cabal,1.1E-6
cabby,8.91E-8
cabin,1.35E-5
cable,3.47E-5
cacao,7.24E-7
cache,4.27E-6
cacti,5.62E-7
caddy,9.12E-7
cadet,2.24E-6
cagey,2.45E-7
cairn,7.41E-7
camel,4.37E-6
cameo,3.02E-6
canal,1.66E-5
candy,1.95E-5
canny,7.76E-7
canoe,3.16E-6
canon,1.29E-5
caper,7.24E-7
caput,1.2E-7
carat,1.41E-6
cargo,1.55E-5
carol,1.05E-5
carry,7.76E-5
carve,2.57E-6
caste,3.98E-6
catch,7.41E-5
cater,3.55E-6
catty,3.63E-7
caulk,1.95E-7
cause,2.24E-4
cavil,1.1E-7
cease,1.07E-5
cedar,5.75E-6
cello,1.95E-6
chafe,2.51E-7
chaff,5.62E-7
chain,4.47E-5
chair,4.9E-5
chalk,4.9E-6
champ,7.94E-6
chant,3.98E-6
chaos,1.86E-5
chard,5.13E-7
charm,1.32E-5
chart,2.95E-5
chase,2.75E-5
chasm,9.12E-7
cheap,5.13E-5
cheat,1.15E-5
check,2.04E-4
cheek,9.12E-6
cheer,1.15E-5
chess,8.71E-6
chest,3.31E-5
chick,1.2E-5
chide,1.51E-7
chief,1.29E-4
child,2.0E-4
chili,5.37E-6
chill,1.51E-5
chime,1.38E-6
china,1.26E-4
chirp,6.17E-7
chock,7.24E-7
choir,7.59E-6
choke,5.25E-6
chord,4.47E-6
chore,1.41E-6
chose,3.55E-5
chuck,1.48E-5
chump,8.13E-7
chunk,4.37E-6
churn,1.17E-6
chute,1.55E-6
cider,3.16E-6
cigar,3.72E-6
cinch,4.47E-7
circa,3.72E-6
civic,1.0E-5
civil,8.51E-5
clack,4.07E-7
claim,8.91E-5
clamp,2.82E-6
clang,4.27E-7
clank,4.57E-7
clash,9.33E-6
clasp,1.26E-6
class,2.29E-4
clean,9.33E-5
clear,1.78E-4
cleat,2.34E-7
cleft,8.71E-7
clerk,1.0E-5
click,6.61E-5
cliff,1.26E-5
climb,1.66E-5
cling,3.09E-6
clink,4.17E-7
cloak,3.72E-6
clock,2.69E-5
clone,4.79E-6
close,2.29E-4
cloth,1.07E-5
cloud,2.88E-5
clout,1.7E-6
clove,8.13E-7
clown,8.51E-6
cluck,2.09E-7
clued,2.51E-7
clump,8.71E-7
clung,9.55E-7
coach,9.12E-5
coast,7.41E-5
cobra,3.24E-6
cocoa,4.37E-6
colon,3.98E-6
color,8.13E-5
comet,4.37E-6
comfy,4.27E-6
comic,2.63E-5
comma,1.86E-6
conch,6.17E-7
condo,4.27E-6
conic,2.63E-7
copse,2.19E-7
coral,7.24E-6
corer,3.8E-8
corny,1.7E-6
couch,1.48E-5
cough,8.91E-6
could,0.00115
count,6.76E-5
coupe,2.19E-6
court,2.57E-4
coven,1.0E-6
cover,1.2E-4
covet,6.61E-7
covey,4.07E-7
cower,3.55E-7
coyly,1.2E-7
crack,2.57E-5
craft,2.0E-5
cramp,1.1E-6
crane,8.32E-6
crank,4.07E-6
crash,3.55E-5
crass,9.12E-7
crate,2.95E-6
crave,2.95E-6
crawl,5.89E-6
craze,2.24E-6
crazy,1.17E-4
creak,3.31E-7
cream,4.17E-5
credo,5.89E-7
creed,5.01E-6
creek,2.34E-5
creep,6.92E-6
creme,1.32E-6
crepe,7.41E-7
crept,1.41E-6
cress,3.09E-7
crest,4.47E-6
crick,6.31E-7
cried,1.55E-5
crier,2.63E-7
crime,7.76E-5
crimp,4.07E-7
crisp,5.01E-6
croak,2.51E-7
crock,1.07E-6
crone,3.98E-7
crony,5.37E-7
crook,2.57E-6
cross,1.0E-4
croup,1.7E-7
crowd,5.01E-5
crown,3.63E-5
crude,1.0E-5
cruel,1.32E-5
crumb,9.33E-7
crump,5.62E-7
